timestamp,value,value_classification,time_until_update,Open,Close,Low,High,Volume,change,RSI,SMA200,SMA50,SMA5,position,fear,greed,overbrough,oversell,10d_low,buy_ranking,sell_ranking
2022-06-15,7,Extreme Fear,,22196.73046875,22572.83984375,20178.376953125,22642.671875,54912007015,0.01648355417709846,27.32031350653034,,,24478.09609375,0,1,0,0,1,22206.79296875,2,0
2022-06-16,7,Extreme Fear,,22576.3046875,20381.650390625,20265.2265625,22868.921875,31183975654,-0.09707194434960298,23.118173312818893,,,22882.2640625,0,1,0,0,1,20381.650390625,2,0
2022-06-17,9,Extreme Fear,,20385.71875,20471.482421875,20326.51953125,21243.3125,27132421514,0.004407495444594733,23.63674080584996,,,21624.030859375,0,1,0,0,1,20381.650390625,2,0
2022-06-18,6,Extreme Fear,,20473.42578125,19017.642578125,17708.623046875,20736.041015625,42009436760,-0.07101780974085614,21.150351058805335,,,20930.081640625,0,1,0,0,1,19017.642578125,2,0
2022-06-19,6,Extreme Fear,,19010.90234375,20553.271484375,18067.15234375,20683.822265625,35329942625,0.0807475952890373,29.576924253391727,,,20599.37734375,0,1,0,0,1,19017.642578125,2,0
2022-06-20,9,Extreme Fear,,20553.37109375,20599.537109375,19689.169921875,20913.322265625,30818458597,0.002251010260589048,29.820267769229762,,,20204.716796875,0,1,0,0,1,19017.642578125,2,0
2022-06-21,9,Extreme Fear,,20594.294921875,20710.59765625,20415.0625,21620.62890625,28970212744,0.0053914098304885805,30.441623465672592,,,20270.50625,0,1,0,0,0,19017.642578125,1,0
2022-06-22,11,Extreme Fear,,20719.4140625,19987.029296875,19848.078125,20835.75,28574793478,-0.034937106663198714,28.66118424924743,,,20173.615625,0,1,0,0,1,19017.642578125,2,0
2022-06-23,11,Extreme Fear,,19986.607421875,21085.876953125,19950.1171875,21135.76171875,26188097173,0.05497803800296652,34.88926901682943,,,20587.2625,0,1,0,0,0,19017.642578125,1,0
2022-06-24,11,Extreme Fear,,21084.6484375,21231.65625,20777.51171875,21472.91796875,24957784918,0.006913598955313738,35.69139166516473,,,20722.939453125,0,1,0,0,0,19017.642578125,1,0
2022-06-25,14,Extreme Fear,,21233.609375,21502.337890625,20964.5859375,21520.9140625,18372538715,0.012748964915301864,37.23748663458029,,,20903.499609375,0,1,0,0,0,19017.642578125,1,0
2022-06-26,14,Extreme Fear,,21496.494140625,21027.294921875,21016.26953125,21783.724609375,18027170497,-0.02209261947079333,35.619005566340824,,,20966.8390625,0,1,0,0,0,19017.642578125,1,0
2022-06-27,12,Extreme Fear,,21028.23828125,20735.478515625,20620.19921875,21478.08984375,20965695707,-0.013877981325425726,34.62346427752694,,,21116.52890625,0,1,0,0,0,19017.642578125,1,0
2022-06-28,10,Extreme Fear,,20731.544921875,20280.634765625,20228.8125,21164.423828125,21381535161,-0.02193553187871977,33.07188611013462,,,20955.48046875,0,1,0,0,0,19987.029296875,1,0
2022-06-29,13,Extreme Fear,,20281.169921875,20104.0234375,19937.791015625,20364.15625,23552740328,-0.008708372798288844,32.463554726990374,,,20729.95390625,0,1,0,0,0,19987.029296875,1,0
2022-06-30,11,Extreme Fear,,20108.3125,19784.7265625,18729.65625,20141.16015625,26267239923,-0.01588223750298734,31.341131301689355,,,20386.431640625,0,1,0,0,0,19784.7265625,1,0
2022-07-01,11,Extreme Fear,,19820.470703125,19269.3671875,19073.708984375,20632.671875,30767551159,-0.02604834458398897,29.56436850487541,,,20034.84609375,0,1,0,0,1,19269.3671875,2,0
2022-07-02,14,Extreme Fear,,19274.8359375,19242.255859375,19027.08203125,19371.748046875,18100418740,-0.0014069651515379311,29.469719493715047,,,19736.2015625,0,1,0,0,1,19242.255859375,2,0
2022-07-03,11,Extreme Fear,,19242.095703125,19297.076171875,18966.951171875,19558.26953125,16390821947,0.002848954556089245,29.95801342472885,,,19539.48984375,0,1,0,0,1,19242.255859375,2,0
2022-07-04,14,Extreme Fear,,19297.314453125,20231.26171875,19063.06640625,20258.748046875,21594638208,0.04841073013105235,37.853819573331386,,,19564.9375,0,1,0,0,0,19242.255859375,1,0
2022-07-05,19,Extreme Fear,,20225.353515625,20190.115234375,19341.232421875,20635.466796875,26715546990,-0.0020338071321012174,37.6524861153181,,,19646.015234375,0,1,0,0,0,19242.255859375,1,0
