,Time,Open,High,Low,Close,Volume,Close time,Quota,Trade,buy_base,buy_quote,Ignore,TT,SMA200,SMA50,SMA5,10d_low,Buy,Sell,Buyprice,Sellprice,RSI,overbrough,oversell
227,1629504000000,49322.47000000,49757.04000000,48222.00000000,48821.87000000,46745.13658400,1629590399999,2290966131.37616106,2069725,23119.67378600,1133342367.74452761,0,2021-08-21,45762.29269999994,38658.06900000001,46861.23999999998,44399.0,0,1,47845.4326,48821.88000000,67.15587006966764,0,0
228,1629590400000,48821.88000000,49500.00000000,48050.00000000,49239.22000000,37007.88779500,1629676799999,1807169840.16917142,1610192,18587.87755200,907708162.11097088,0,2021-08-22,45820.39444999995,38949.47080000001,47769.893999999986,44695.95,0,1,48254.4356,49239.22000000,68.01379466579841,0,0
229,1629676800000,49239.22000000,50500.00000000,49029.00000000,49488.85000000,52462.54195400,1629763199999,2616721363.68517193,2143309,26218.97512000,1307817635.39098320,0,2021-08-23,45883.155399999945,39233.517600000014,48726.60599999998,44695.95,0,1,48499.073,49488.85000000,68.54307848636971,0,0
230,1629763200000,49488.85000000,49860.00000000,47600.00000000,47674.01000000,51014.59474800,1629849599999,2486079315.56442367,1692896,24702.92344300,1203899649.69982630,0,2021-08-24,45930.07424999994,39513.195000000014,48909.28399999997,44695.95,0,0,46720.529800000004,47674.01000000,60.68152083173328,0,0
231,1629849600000,47674.01000000,49264.30000000,47126.28000000,48973.32000000,44655.83034200,1629935999999,2149442271.52642047,1559186,21796.87767200,1049712097.34821821,0,2021-08-25,45979.00614999994,39808.261200000015,48839.453999999976,44695.95,0,1,47993.8536,48973.32000000,63.875999273533026,0,0
232,1629936000000,48973.32000000,49352.84000000,46250.00000000,46843.87000000,49371.27777400,1630022399999,2333900030.22962785,1532753,23686.56349600,1120008931.61987400,0,2021-08-26,46019.24704999995,40067.89620000002,48443.85399999998,44695.95,0,0,45906.992600000005,46843.86000000,55.86506919407698,0,0
233,1630022400000,46843.86000000,49149.93000000,46348.00000000,49069.90000000,42068.10496500,1630108799999,2007071230.21999509,1320503,21727.05079000,1036769755.55960299,0,2021-08-27,46032.72219999995,40391.78000000001,48409.98999999998,44705.29,0,1,48088.502,49069.90000000,61.32540395621584,0,0
234,1630108800000,49069.90000000,49299.00000000,48346.88000000,48895.35000000,26681.06378600,1630195199999,1303966035.77054955,793012,13895.76367700,679193791.59952045,0,2021-08-28,46045.09684999995,40693.37080000001,48291.289999999986,46760.62,0,1,47917.443,48895.35000000,60.69133421613607,0,0
235,1630195200000,48895.35000000,49632.27000000,47762.54000000,48767.83000000,32652.28347300,1630281599999,1588661416.36037966,1193046,16157.04309600,786599088.69166977,0,2021-08-29,46064.89809999995,40998.67000000001,48510.05399999998,46843.87,0,1,47792.4734,48767.84000000,60.2016141715092,0,0
236,1630281600000,48767.84000000,48888.61000000,46853.00000000,46982.91000000,40288.35083000,1630367999999,1932344430.92392620,1204012,19637.84056000,942218565.02155950,0,2021-08-30,46059.96509999995,41253.14840000001,48111.97199999999,46843.87,0,0,46043.251800000005,46982.91000000,53.67325199385146,0,0
